Indication_approved,Indication_approved_extracted,,Indication_requested,Indication_requested_extracted,,Marketing_authorisation_holder,Marketing_authorisation_holder_extracted,
treatment of 5q-associated spinal muscular atrophy (SMA) in paediatric and adult patients,<Spinal Muscular Atrophy>,match,treatment of 5q spinal muscular atrophy (SMA),<Spinal Muscular Atrophies of Childhood>,match ,Roche Pharma (Schweiz) AG,Roche,match
"Pioglitazone is indicated as second or third line treatment of type 2 diabetes mellitus as described below: as monotherapy in adult patients (particularly overweight patients) inadequately controlled by diet and exercise for whom metformin is inappropriate because of contraindications or intolerance, as dual oral therapy in combination with metformin, in adult patients (particularly overweight patients) with insufficient glycaemic control despite maximal tolerated dose of monotherapy with metformin, a sulphonylurea, only in adult patients who show intolerance to metformin or for whom metformin is contraindicated, with insufficient glycaemic control despite maximal tolerated dose of monotherapy with a sulphonylurea, as triple oral therapy in combination with metformin and a sulphonylurea, in adult patients (particularly overweight patients) with insufficient glycaemic control despite dual oral therapy. Pioglitazone is also indicated for combination with insulin in type 2 diabetes mellitus adult patients with insufficient glycaemic control on insulin for whom metformin is inappropriate because of contraindications or intolerance.",<Type 2 Diabetes Mellitus>,match,"Pioglitazone is indicated as second or third line treatment of type 2 diabetes mellitus as described below: as monotherapy in adult patients (particularly overweight patients) inadequately controlled by diet and exercise for whom metformin is inappropriate because of contraindications or intolerance, as dual oral therapy in combination with metformin, in adult patients (particularly overweight patients) with insufficient glycaemic control despite maximal tolerated dose of monotherapy with metformin, a sulphonylurea, only in adult patients who show intolerance to metformin or for whom metformin is contraindicated, with insufficient glycaemic control despite maximal tolerated dose of monotherapy with a sulphonylurea, as triple oral therapy in combination with metformin and a sulphonylurea, in adult patients (particularly overweight patients) with insufficient glycaemic control despite dual oral therapy. Pioglitazone is also indicated for combination with insulin in type 2 diabetes mellitus adult patients with insufficient glycaemic control on insulin for whom metformin is inappropriate because of contraindications or intolerance.",<Type 2 Diabetes Mellitus>,match ,Actavis Group PTC ehf,Actavis,match
,Not Reported,match,Reversal of neuromuscular blockage induced by rocuronium or vecuronium in adults; routine reversal of rocuronium induced blockage in children and adolescents aged 2 to 17 years,Not Reported,no_match,Not reported,Not Reported,match
prevention of gastro-enteritis due to rotavirus infection,<Rotavirus Infections>,match,prevention of gastro-enteritis due to rotavirus infection,<Rotavirus Infections>,match ,GlaxoSmithKline Biologicals,GlaxoSmithKline,match
treatment of episodic and chronic migraine in adults,<Migraine Disorders>,match,treatment of episodic and chronic migraine in adults,<Migraine Disorders>,match ,TEVA GmbH,TEVA,match
treatment of unresectable Stage IIIC or Stage IV metastatic melanoma positive for a BRAF V600 mutation,<Melanoma>,match,treatment of unresectable Stage IIIC or Stage IV metastatic melanoma positive for a BRAF V600 mutation,<Melanoma>,match ,Roche Products Pty Limited,Roche,match
,Not Reported,match,treatment of Fibromyalgia syndrome,<Fibromyalgia>,match ,Pierre Fabre Médicament,Pierre Fabre,match
Prevention of atherothrombotic events in adults,<Arteriosclerosis>,no_match,Prevention of atherothrombotic events in adults,<Arteriosclerosis>,no_match,Sanofi Pharma Bristol-Myers Squibb SNC,Sanofi Bristol-Myers Squibb,match
Treatment of essential hypertension. This fixed dose combination is indicated in patients whose blood pressure is not adequately controlled on Irbesartan or Hydrochlorothiazide alone.,<Hypertension>,match,Treatment of essential hypertension. This fixed dose combination is indicated in patients whose blood pressure is not adequately controlled on Irbesartan or Hydrochlorothiazide alone.,<Hypertension>,match ,Not reported,Not Reported,match
Reduction of the risk of ischemic stroke and systemic embolism in patients with nonvalvular atrial fibrillation,<Ischemic Stroke>; <Embolism>; <Atrial Fibrillation>,match,Reduction of the risk of stroke and systemic embolism in patients with nonvalvular atrial fibrillation,<Stroke>; <Embolism>; <Atrial Fibrillation>,match ,Bristol-Myers K.K.,Bristol-Myers,match
Radioactive diagnostic agent for use with PET imaging in patients with prostate cancer who are at risk of metastasis and who are suitable for initial definitive therapy or who have suspected recurrence based on elevated serum PSA level,<Prostatic Neoplasms>,match,Radioactive diagnostic agent for use with PET imaging for the evaluation of prostate cancer,<Prostatic Neoplasms>,match ,Telix Pharmaceuticals (ANZ) Pty Ltd,Telix,match
The management of chronic pulmonary infections due to Pseudomonas aeruginosa in patients with cystic fibrosis (CF) aged 6 years and older.,<Chronic Pulmonary Infection>; <Cystic Fibrosis>,match,The treatment of Pseudomonas aeruginosa pulmonary infection in patients aged 6 years and over with cystic fibrosis.,<Pseudomonas Infections>; <Cystic Fibrosis>,match ,Forest Laboratories UK Ltd.,Forest,match
Vyvgart is indicated as an add-on to standard therapy for the treatment of adult patients with generalised Myasthenia Gravis (gMG) who are anti-acetylcholine receptor (AChR) antibody positive.,<Myasthenia Gravis>,match,Vyvgart is indicated as an add-on to standard therapy for the treatment of adult patients with generalised Myasthenia Gravis (gMG) who are anti-acetylcholine receptor (AChR) antibody positive.,<Myasthenia Gravis>,match ,argenx Switzerland SA,argenx,match
Active immunisation against influenza in persons 65 years of age and older.,<Influenza>,match,Active immunisation against influenza in persons 65 years of age and older.,<Influenza>,match ,Seqirus Pty Ltd,Seqirus,match
