File Name,Origin,Marketing_authorisation_number,Drug,Non_proprietary_name,Drug_class,Pharmaceutical_form,Administration_route,Decision,Current_status,Decision_date,Orphan_drug_status,Indication_requested,Indication_approved,Disease_class(es),Application_date,Nonclinical_pharmacology_species,Nonclinical_pharmacology_strain,Nonclinical_pharmacology_model,Nonclinical_pharmacokinetics_species,Nonclinical_pharmacokinetics_strain,Nonclinical_pharmacokinetics_model,Nonclinical_toxicology_species,Nonclinical_toxicology_strain,Nonclinical_toxicology_model
abecma-epar-public-assessment-report_en.pdf,EMA,EMEA/H/C/004662/0000,Abecma,idecabtagene vicleucel,Cell and gene therapy,dispersion for infusion (cell suspension for intravenous infusion),intravenous,approved,authorised (under additional monitoring),24.06.2021,yes,"treatment of adult patients with multiple myeloma who have received at least three prior therapies, including an immunomodulatory agent, a proteasome inhibitor and an anti CD38 antibody","treatment of adult patients with relapsed and refractory multiple myeloma who have received at least three prior therapies, including an immunomodulatory agent, a proteasome inhibitor and an anti CD38 antibody and have demonstrated disease progression on the last therapy",Neoplasms,30.04.2020,mouse,NSG mouse,xenograft mouse,mouse,NSG mouse,xenograft mouse,Not reported,Not reported,Not reported
abevmy-epar-public-assessment-report_en.pdf,EMA,EU/1/04/300/001/2,Abevmy,bevacizumab,Biologics,concentrate for solution for infusion,intravenous,approved,authorised (under additional monitoring),25.02.2021,no,"treatment of adult patients with metastatic carcinoma of the colon or rectum, metastatic breast cancer, non-small cell lung cancer, renal cell cancer, epithelial ovarian, fallopian tube or primary peritoneal cancer, and carcinoma of the cervix",same as requested indications,Neoplasms,20.02.2020,Not reported,<N/A>,NA,"mouse, rabbit, monkey",<N/A>,Not reported,"mouse, rabbit, monkey",<N/A>,Not reported
abilify-epar-scientific-discussion_en.pdf,EMA,<N/A>,Abilify,aripiprazole,Small molecule,tablet,oral,approved,authorised,<N/A>,no,treatment of schizophrenia,treatment of schizophrenia,Mental and behavioural disorders,<N/A>,"rat, mouse, rabbit, dog, monkey","F344 rat, ICR mouse, SD rat, Hartley guinea pig",Not reported,"mouse, rat, rabbit, dog, monkey","F344 rat, ICR mouse, SD rat",Not reported,"rat, mouse, rabbit, dog, monkey, guinea pig","F344 rat, ICR mouse, SD rat, Hartley guinea pig",Not reported
abilify-maintena-epar-public-assessment-report_en.pdf,EMA,EMA/737723/2013,Abilify Maintena,aripiprazole,Small molecule,powder and solvent for prolonged-release suspension for injection,intramuscular,approved,authorised,19.09.2013,no,maintenance treatment of schizophrenia in adults,maintenance treatment of schizophrenia in adult patients stabilised with oral aripiprazole,Mental and behavioural disorders,30.11.2012,rat,Not reported,Not reported,rat,Not reported,Not reported,"rat, dog, monkey, rabbit, guinea pig",Not reported,Not reported
abiraterone-accord-epar-public-assessment-report_en.pdf,EMA,EMA/174959/2021,Abiraterone Accord,abiraterone acetate,Small molecule,250 mg tablets and 500 mg film-coated tablets,oral,approved,authorised,25.02.2021,no,treatment of newly diagnosed high risk metastatic hormone sensitive prostate cancer (mHSPC) in adult men in combination with androgen deprivation therapy (ADT); treatment of metastatic castration resistant prostate cancer (mCRPC) in adult men who are asymptomatic or mildly symptomatic after failure of androgen deprivation therapy in whom chemotherapy is not yet clinically indicated; treatment of mCRPC in adult men whose disease has progressed on or after a docetaxel-based chemotherapy regimen,treatment of newly diagnosed high risk metastatic hormone sensitive prostate cancer (mHSPC) in adult men in combination with androgen deprivation therapy (ADT); treatment of metastatic castration resistant prostate cancer (mCRPC) in adult men who are asymptomatic or mildly symptomatic after failure of androgen deprivation therapy in whom chemotherapy is not yet clinically indicated; treatment of mCRPC in adult men whose disease has progressed on or after a docetaxel-based chemotherapy regimen,Neoplasms,12.09.2019,Not reported,<N/A>,Not reported,Not reported,<N/A>,Not reported,Not reported,<N/A>,Not reported
abiraterone-krka-epar-public-assessment-report_en.pdf,EMA,EU/1/11/714/001-003,Abiraterone acetate KRKA,abiraterone acetate,Small molecule,film-coated tablets,oral,approved,authorised,22.04.2021,no,the treatment of newly diagnosed high risk metastatic hormone sensitive prostate cancer (mHSPC) in adult men in combination with androgen deprivation therapy (ADT); the treatment of metastatic castration resistant prostate cancer (mCRPC) in adult men who are asymptomatic or mildly symptomatic after failure of androgen deprivation therapy in whom chemotherapy is not yet clinically indicated; the treatment of mCRPC in adult men whose disease has progressed on or after a docetaxel-based chemotherapy regimen,the treatment of newly diagnosed high risk metastatic hormone sensitive prostate cancer (mHSPC) in adult men in combination with androgen deprivation therapy (ADT); the treatment of metastatic castration resistant prostate cancer (mCRPC) in adult men who are asymptomatic or mildly symptomatic after failure of androgen deprivation therapy in whom chemotherapy is not yet clinically indicated; the treatment of mCRPC in adult men whose disease has progressed on or after a docetaxel-based chemotherapy regimen,Neoplasms,29.06.2020,Not reported,<N/A>,Not reported,Not reported,<N/A>,Not reported,Not reported,<N/A>,Not reported
abiraterone-mylan-epar-public-assessment-report_en.pdf,EMA,EU/1/11/714/002-003,Abiraterone Mylan,abiraterone acetate,Small molecule,film-coated tablets,oral,approved,authorised,22.04.2021,no,the treatment of newly diagnosed high risk metastatic hormone sensitive prostate cancer (mHSPC) in adult men in combination with androgen deprivation therapy (ADT); the treatment of metastatic castration resistant prostate cancer (mCRPC) in adult men who are asymptomatic or mildly symptomatic after failure of androgen deprivation therapy in whom chemotherapy is not yet clinically indicated; the treatment of mCRPC in adult men whose disease has progressed on or after a docetaxel-based chemotherapy regimen,the treatment of newly diagnosed high risk metastatic hormone sensitive prostate cancer (mHSPC) in adult men in combination with androgen deprivation therapy (ADT); the treatment of metastatic castration resistant prostate cancer (mCRPC) in adult men who are asymptomatic or mildly symptomatic after failure of androgen deprivation therapy in whom chemotherapy is not yet clinically indicated; the treatment of mCRPC in adult men whose disease has progressed on or after a docetaxel-based chemotherapy regimen,Neoplasms,09.03.2020,Not reported,<N/A>,Not reported,Not reported,<N/A>,Not reported,Not reported,<N/A>,Not reported
abraxane-epar-public-assessment-report_en.pdf,EMA,EMEA/H/C/778,Abraxane,Paclitaxel,Small molecule,Sterile lyophilisate for suspension for injection,Intravenous,approved,authorised,11.01.2008,no,Metastatic breast carcinoma and adjuvant treatment of node-positive breast carcinoma following anthracycline and cyclophosphamide therapy,"Treatment of metastatic carcinoma of the breast in patients who have failed, or are not candidates for standard, anthracycline containing therapy",Neoplasms,25.08.2006,"mouse, rat, rabbit","athymic nude mouse, Sprague Dawley rat, New Zealand White rabbit","xenograft mouse, endothelial cell monolayers","rat, mouse, rabbit","Sprague Dawley rat, athymic mouse, New Zealand White rabbit",Not reported,"mouse, rat, dog, pig","CD1 mouse, Sprague Dawley rat",Not reported
abrysvo-epar-public-assessment-report_en.pdf,EMA,EMA/351226/2023,Abrysvo,"respiratory syncytial virus vaccine (bivalent, recombinant)",Vaccine,lyophilised powder for reconstitution and solvent for solution for injection,intramuscular,approved,authorised (under additional monitoring),20.07.2023,no,Prevention of lower respiratory tract disease and severe lower respiratory tract disease caused by respiratory syncytial virus (RSV) in infants from birth through 6 months of age by active immunisation of pregnant individuals; prevention of acute respiratory disease and lower respiratory tract disease caused by RSV in individuals 60 years of age and older by active immunisation.,Passive protection against lower respiratory tract disease caused by respiratory syncytial virus (RSV) in infants from birth through 6 months of age following maternal immunisation during pregnancy; active immunisation of individuals 60 years of age and older for the prevention of lower respiratory tract disease caused by RSV.,Diseases of the respiratory system,22.12.2022,"mouse, cotton rat, rabbit, monkey",Not reported,Not reported,Not reported,Not reported,Not reported,"rat, rabbit","Wistar Han rat, New Zealand White rabbit",Not reported
absimky-epar-public-assessment-report_en.pdf,EMA,EMA/511029/2024,Absimky,ustekinumab,Biologics,solution for injection in pre-filled syringe (45 mg/0.5 mL and 90 mg/mL) and concentrate for solution for infusion (130 mg),subcutaneous injection and intravenous infusion,approved,authorised (under additional monitoring),17.10.2024,no,"Plaque psoriasis, Paediatric plaque psoriasis, Psoriatic arthritis, Crohn’s Disease, Ulcerative colitis","Treatment of moderate to severe plaque psoriasis in adults and children 6 years and older, active psoriatic arthritis in adults, moderately to severely active Crohn’s disease in adults, and moderately to severely active ulcerative colitis in adults","Diseases of the skin, Neoplasms, Diseases of the musculoskeletal system and connective tissue, Diseases of the digestive system",05.04.2024,cynomolgus monkey,Not reported,Not reported,cynomolgus monkey,Not reported,Not reported,cynomolgus monkey,Not reported,Not reported
abylqis-withdrawal-assessment-report_en.pdf,EMA,EMEA/H/C/004810/0000,Abylqis,arachis hypogaea extract,Peptides and proteins,cutaneous patch,epicutaneous,refused,NA,<N/A>,no,Abylqis is indicated as epicutaneous immunotherapy (EPIT) for the treatment of children aged 4 to 11 years at the time of treatment initiation diagnosed with peanut allergy that has been confirmed with a positive skin prick test or in vitro testing for peanut-specific IgE antibodies.,<N/A>,Diseases of the respiratory system,<N/A>,"mouse, guinea pig, minipig, rabbit, rat","Langerin-eGFP-DTR transgenic mouse, Gottingen minipig","OVA-sensitized mouse, peanut-sensitized mouse, peanut-sensitized guinea pig, peanut-sensitized minipig, ex vivo human skin model",mouse,<N/A>,Not reported,"guinea pig, mouse, rat, rabbit","peanut-sensitized guinea pig, naïve rabbit","repeated-dose toxicity in peanut-sensitized guinea pig, local tolerance in naïve rabbits"
accofil-epar-public-assessment-report_en.pdf,EMA,EMEA/H/C/003956,Accofil,filgrastim,Biologics,solution for injection or infusion in prefilled glass syringes,intravenous infusion or subcutaneous injection,approved,authorised,24.07.2014,no,"reduction in the duration of neutropenia and the incidence of febrile neutropenia in patients treated with cytotoxic chemotherapy for malignancy (except chronic myeloid leukaemia and myelodysplastic syndromes), reduction in duration of neutropenia in patients undergoing myeloablative therapy followed by bone marrow transplantation at risk of prolonged severe neutropenia, mobilisation of peripheral blood progenitor cells, treatment of severe congenital, cyclic, or idiopathic neutropenia, treatment of persistent neutropenia in advanced HIV infection",same as indication requested,Neoplasms,24.03.2014,"mouse, rat","BALB/c mouse, Wistar rat, Swiss albino mouse, Sprague-Dawley rat","neutropenic mouse, induced neutropenia mouse",rat,Wistar rat,Not reported,"rat, mouse, rabbit","Wistar rat, Swiss albino mouse, New Zealand white rabbit",Not reported
