Document_name,Marketing_authorisation_number,Procedure_number,Drug_name,Non_proprietary_name,Marketing_authorisation_holder,Drug_class,Pharmaceutical_form,Administration_route,Decision,Current_status,Decision_date,Decision_year,Orphan_drug_status,Indication_extended,Indication_requested,Indication_approved,Disease_class(es),Application_date,Application_year,Nonclinical_abridged,Referral_body
swisspar_orladeyo.pdf,68464,EMEA/H/C/005138/0000,Orladeyo,berotralstat,BioCryst Schweiz GmbH,Small molecule,hard capsules,oral,approved,authorised,07.06.2022,2022,yes,no,Routine prevention of recurrent attacks of hereditary angioedema (HAE) in adult and adolescent patients aged 12 years and older.,Routine prevention of recurrent attacks of hereditary angioedema (HAE) in adult and adolescent patients aged 12 years and older.,Diseases of the blood and blood-forming organs,22.07.2021,2021,yes,European Medicines Agency (EMA)
swisspar_rozlytrek_final.pdf,67280,Not reported,ROZLYTREK,entrectinib,Roche Pharma (Schweiz) AG,Small molecule,hard capsules,oral,approved,authorised (under additional monitoring),05.11.2020,2020,yes,no,Solid tumours with NTRK fusion-positive and ROS1-positive advanced non-small cell lung cancer (NSCLC),Solid tumours with NTRK fusion-positive and ROS1-positive advanced non-small cell lung cancer (NSCLC),Neoplasms; Diseases of the respiratory system,20.05.2019,2019,no,NA
swisspar_tymlos.pdf,69246,Not reported,Tymlos,abaloparatide,Labatec Pharma SA,Peptides and proteins,solution for injection,subcutaneous,approved,authorised,07.03.2024,2024,no,no,Treatment of osteoporosis in postmenopausal women at increased risk of fracture.,Treatment of osteoporosis in postmenopausal women at high risk of fracture.,Diseases of the musculoskeletal system and connective tissue,12.12.2022,2022,yes,EMA
swisspar_bimzelx_ie_axial_spondyloarthritis.pdf,68548,Not reported,Bimzelx,bimekizumab,UCB-Pharma SA,Biologics,solution for injection,subcutaneous,approved,authorised (under additional monitoring),29.07.2024,2024,no,yes,"Axial spondyloarthritis; Non-radiographic axial spondyloarthritis (nr-axSpA); Ankylosing spondylitis (AS, radiographic axial spondyloarthritis)","Axial spondyloarthritis; Non-radiographic axial spondyloarthritis (nr-axSpA); Ankylosing spondylitis (AS, radiographic axial spondyloarthritis)",Diseases of the musculoskeletal system and connective tissue,14.08.2023,2023,no,NA
swisspar_ronapreve_final.pdf,68329,Not reported,Ronapreve,"casirivimab, imdevimab",Roche Pharma (Schweiz) AG,Biologics,solution for injection/infusion,"intravenous, subcutaneous",approved,authorised,23.12.2021,2021,no,no,Treatment of confirmed COVID-19 infection in patients aged 12 years and older and weighing at least 40 kg that do not require supplemental oxygen for COVID-19 and who are at high risk of progressing to severe COVID-19. Prevention of COVID-19 in individuals aged 12 years and older and weighing at least 40 kg who meet certain criteria.,Treatment of confirmed COVID-19 in adults and adolescents (12 years of age and older and weighing at least 40 kg) who do not require supplemental oxygen or hospitalisation for COVID-19 and who are at high risk of developing severe COVID-19. Prevention of COVID-19 in adults and adolescents (12 years of age and older and weighing at least 40 kg) who cannot produce an adequate immune response to the SARS-CoV-2 vaccination.,Infectious and parasitic diseases,05.03.2021,2021,no,NA
swisspar_trikafta_ie.pd.pdf,69212,Not reported,Trikafta,"elexacaftor, ivacaftor, tezacaftor",Vertex Pharmaceuticals (CH) GmbH,Small molecule,granules,oral,approved,authorised (under additional monitoring),13.06.2024,2024,yes,yes,Trikafta is indicated for the treatment of cystic fibrosis (CF) in patients aged 2 years and older who have at least one F508del mutation in the cystic fibrosis transmembrane conductance regulator (CFTR) gene,Trikafta is indicated for the treatment of cystic fibrosis (CF) in patients aged 2 years and older who have at least one F508del mutation in the cystic fibrosis transmembrane conductance regulator (CFTR) gene,"Diseases of the respiratory system; Endocrine, nutritional, and metabolic diseases",28.02.2023,2023,no,NA
swisspar_jynneos_final.pdf,69173,Not reported,JYNNEOS,"modified vaccinia Ankara virus, live attenuated",Bavarian Nordic Switzerland AG,Vaccine,suspension for injection,subcutaneous,approved,authorised (under additional monitoring),01.03.2024,2024,no,no,"Active immunisation against disease caused by smallpox, monkeypox, and vaccinia virus in adults","Active immunisation against disease caused by smallpox, monkeypox, and vaccinia viruses in adults 18 years of age and older",Infectious and parasitic diseases,23.12.2022,2022,yes,EMA
swisspar_xofluza_final.pdf,67426,Not reported,Xofluza,baloxavir marboxil,Roche Pharma (Schweiz) AG,Small molecule,film-coated tablets,oral,approved,authorised,19.02.2020,2020,no,no,treatment of influenza in patients aged 12 years and older who have been symptomatic for no more than 48 hours and who are at high risk of developing influenza-related complications,treatment of uncomplicated influenza in patients aged 12 years and older who have been symptomatic for no more than 48 hours and who are otherwise healthy or at high risk of developing influenza-related complications,Infectious and parasitic diseases,30.04.2019,2019,no,NA
swisspar_koselugo.pdf,67410,Not reported,Koselugo,selumetinib,AstraZeneca AG,Small molecule,hard capsule,oral,temporary authorisation,authorised (under additional monitoring),29.07.2022,2022,yes,no,"Koselugo is indicated for the treatment of children and adolescents aged 3 years and above with neurofibromatosis type 1 (NF1) and symptomatic, inoperable plexiform neurofibromas (PN).","Koselugo is indicated for the treatment of children and adolescent patients aged 3 years and above with neurofibromatosis type 1 (NF1) and symptomatic, inoperable plexiform neurofibromas (PN).",Neoplasms; Other,01.10.2020,2020,yes,FDA
swisspar_vaxneuvance_ie.pdf,68752,Not reported,Vaxneuvance,Streptococcus pneumoniae serotypes 1 / 3 / 4 / 5 / 6A / 6B / 7F / 9V / 14 / 18C / 19A / 19F / 22F / 23F / 33F polysaccharide conjugated to Corynebacterium diphtheriae CRM 197 protein,MSD Merck Sharp & Dohme AG,Vaccine,suspension for injection,intramuscular,approved,authorised (under additional monitoring),09.01.2024,2024,no,yes,"Active immunisation for the prevention of invasive disease, pneumonia, and acute otitis media caused by Streptococcus pneumoniae in infants, children, and adolescents from 6 weeks to less than 18 years of age.","Active immunisation for the prevention of invasive disease, pneumonia, and acute otitis media caused by Streptococcus pneumoniae in infants and children from 6 weeks to 5 years of age.",Infectious and parasitic diseases; Diseases of the respiratory system,20.02.2023,2023,yes,EMA
swisspar_xofluza.pdf,67426,Not reported,Xofluza,baloxavirum marboxilum,Roche Pharma (Schweiz) AG,Small molecule,film-coated tablet,oral,approved,authorised,19.11.2021,2021,no,yes,Prophylaxis of influenza,Post-exposure prophylaxis of influenza in individuals aged 12 years and above,Infectious and parasitic diseases; Diseases of the respiratory system,01.07.2020,2020,no,NA
swisspar_tabrecta.pdf,67648,Not reported,Tabrecta,capmatinib,Novartis Pharma Schweiz AG,Small molecule,film-coated tablets,oral,approved,authorised (under additional monitoring),26.04.2021,2021,yes,no,Tabrecta is indicated for the treatment of patients with locally advanced or metastatic non-small cell lung cancer (NSCLC) with a MET-Exon-14-skipping mutation.,Tabrecta is indicated for the treatment of adult patients with metastatic non-small cell lung cancer (NSCLC) with a MET exon 14 skipping mutation.,Neoplasms; Diseases of the respiratory system,16.07.2020,2020,yes,FDA
swisspar_inrebic-1.pdf,67792,Not reported,INREBIC,fedratinib as fedratinib dihydrochloride monohydrate,Celgene GmbH,Small molecule,hard capsule,oral,approved,authorised (under additional monitoring),01.07.2021,2021,yes,no,Inrebic is a kinase inhibitor indicated for the treatment of adult patients with intermediate-2 or high-risk primary or secondary (post-polycythaemia vera or post-essential thrombocythaemia) myelofibrosis (MF).,"Inrebic is indicated for the treatment of splenomegaly or disease-associated symptoms in intermediate or high risk patients who have failed to respond, or are intolerant, to ruxolitinib.",Neoplasms; Diseases of the blood and blood-forming organs,29.11.2019,2019,yes,FDA
swisspar_fluenz_tetra_final.pdf,68462,Not reported,FLUENZ TETRA,"reassortant live attenuated influenza virus strains of types A/H1N1, A/H3N2, B/Yamagata and B/Victoria",AstraZeneca AG,Vaccine,suspension in a nasal spray,intranasal,approved,authorised,11.05.2022,2022,no,no,Prophylaxis of influenza in children and adolescents from 24 months to 18 years of age.,Active immunisation in children and adolescents from 24 months to 18 years of age. For prophylaxis of influenza caused by the two influenza A virus subtypes and the two influenza B virus subtypes contained in the vaccine.,Infectious and parasitic diseases; Diseases of the respiratory system,01.04.2021,2021,yes,EMA
swisspar_lamzede.pdf,68591,Not reported,Lamzede,velmanasum alfa,Chiesi SA,Biologics,powder for solution for infusion,intravenous,temporary authorisation,authorised (under additional monitoring),26.08.2022,2022,yes,no,Enzyme replacement therapy for non-neurological manifestations in patients with mild to moderate alpha-mannosidosis.,Enzyme replacement therapy for the treatment of non-neurological manifestations in patients with mild to moderate alpha-mannosidosis.,"Endocrine, nutritional, and metabolic diseases",08.12.2021,2021,no,NA
swisspar_zeposia.pdf,67046,Not reported,Zeposia,ozanimod,Celgene GmbH,Small molecule,hard capsules,oral,approved,authorised,11.08.2020,2020,no,no,Zeposia is indicated for the treatment of adults with relapsing multiple sclerosis (RMS).,Zeposia is indicated for the treatment of adult patients with relapsing remitting multiple sclerosis (MS).,Diseases of the nervous system,08.05.2019,2019,no,NA
swisspar_roclanda.pdf,69043,Not reported,Roclanda,"latanoprost, netarsudil",Santen SA,Small molecule,"eye drops, solution",ocular,approved,authorised,03.10.2023,2023,no,no,Reduction of elevated intraocular pressure (IOP) in adult patients with primary open-angle glaucoma or ocular hypertension for whom monotherapy with a prostaglandin or netarsudil provides insufficient IOP reduction.,Reduction of elevated intraocular pressure (IOP) in adult patients with primary open-angle glaucoma or ocular hypertension for whom monotherapy with a prostaglandin provides insufficient IOP reduction.,Diseases of the eye and adnexa,22.07.2022,2022,yes,CHMP
swisspar_heparin_sintetica.pdf,67780,Not reported,Heparin Sintetica,heparin sodium,Sintetica SA,Biologics,solution for infusion,intravenous,approved,authorised,20.12.2021,2021,no,no,"Treatment of thromboembolic disease of all causes and at any site, and relay treatment following thrombolytic therapy; in the event of myocardial infarction; inhibition of coagulation in the event of extracorporeal circulation and haemodialysis.","Treatment of thromboembolic disease of all causes and at any site, and relay treatment following thrombolytic therapy; in the event of myocardial infarction; inhibition of coagulation in the event of extracorporeal circulation and haemodialysis.",Diseases of the circulatory system,25.11.2019,2019,yes,NA
swisspar_locametz.pdf,68685,Not reported,Locametz,gozetotide,ADVANCED ACCELERATOR,Peptides and proteins,kit for radiopharmaceutical preparation,intravenous,approved,authorised,03.03.2023,2023,no,no,Radiodiagnostic for identification of PSMA-positive lesions in prostate cancer,Radiodiagnostic for identification of PSMA-positive lesions in prostate cancer,Neoplasms,23.11.2021,2021,yes,NA
swisspar_evusheld-1.pdf,68704,Not reported,Evusheld,cilgavimab / tixagevimab,AstraZeneca AG,Biologics,solution for injection,intramuscular,temporary authorisation,authorised (under additional monitoring),09.09.2022,2022,no,no,prophylaxis of COVID-19 in adults and paediatric individuals (12 years of age and older weighing at least 40 kg),pre-exposure prophylaxis of COVID-19 in adults and adolescents (12 years of age and older weighing at least 40 kg) unable to produce an adequate immune response to the SARS-CoV-2 vaccine and who are not currently infected with SARS-CoV-2 and who have not had recent contact with a person infected with SARS-CoV-2,Infectious and parasitic diseases,09.02.2022,2022,yes,EMA
swisspar_gavreto-1.pdf,68182,Not reported,Gavreto,pralsetinib,Roche Pharma (Schweiz) AG,Small molecule,hard capsules,oral,approved,authorised (under additional monitoring),12.08.2021,2021,yes,no,GAVRETO is indicated for the treatment of adult patients with metastatic RET fusion-positive non-small cell lung cancer (NSCLC) and who have experienced progression after previous treatment. GAVRETO is indicated for the treatment of adult and paediatric patients 12 years of age and older with advanced or metastatic RET-mutant medullary thyroid cancer (MTC) who require systemic therapy and who have experienced progression after previous treatment. GAVRETO is indicated for the treatment of adult and paediatric patients 12 years of age and older with advanced or metastatic RET fusion-positive thyroid cancer who require systemic therapy and who have experienced progression after previous treatment including radioactive iodine.,RET Fusion-Positive Non-Small Cell Lung Cancer; RET-Mutant Medullary Thyroid Cancer; RET Fusion-Positive Thyroid Cancer,Neoplasms; Diseases of the respiratory system; Diseases of the endocrine system,12.04.2021,2021,yes,US-FDA
