Document_name,Marketing_authorisation_number,Procedure_number,Drug_name,Non_proprietary_name,Marketing_authorisation_holder,Drug_class,Pharmaceutical_form,Administration_route,Decision,Current_status,Decision_date,Decision_year,Orphan_drug_status,Indication_extended,Indication_requested,Indication_approved,Disease_class(es),Application_date,Application_year,Nonclinical_abridged,Referral_body
febseltiq-withdrawal-assessment-report_en.pdf,EMA/939316/2022,EMEA/H/C/005361/0000,Febseltiq,infigratinib,Not reported,Small molecule,hard capsule,oral,withdrawn,withdrawn,25.03.2022,2022,yes,no,"treatment of adults with previously treated, unresectable locally advanced or metastatic cholangiocarcinoma with a fibroblast growth factor receptor 2 (FGFR2) fusion or other rearrangement",NA,Neoplasms; Diseases of the digestive system,Not reported,Not reported,no,NA
mabcampath-epar-scientific-discussion_en.pdf,Not reported,Not reported,MabCampath,alemtuzumab,Not reported,Biologics,solution for infusion,intravenous,Not reported,withdrawn,Not reported,Not reported,Not reported,no,treatment of patients with chronic lymphocytic leukaemia (CLL) who have been treated with alkylating agents and who have failed fludarabine phosphate therapy,treatment of patients with chronic lymphocytic leukaemia (CLL) who have been treated with alkylating agents and who have failed to achieve a complete or partial response or achieved only a short remission (less than 6 months) following fludarabine phosphate therapy,Neoplasms; Diseases of the blood and blood-forming organs,Not reported,Not reported,yes,CPMP
wainzua-epar-public-assessment-report_en.pdf,EMA/515905/2024,EMEA/H/C/006295/0000,Wainzua,eplontersen,AstraZeneca AB,Peptides and proteins,solution for injection,subcutaneous,approved,authorised,30.01.2025,2025,yes,no,treatment of adult patients with polyneuropathy associated with hereditary transthyretin-mediated amyloidosis (ATTRv),treatment of hereditary transthyretin-mediated amyloidosis (ATTRv) in adult patients with stage 1 or stage 2 polyneuropathy,Diseases of the nervous system; Diseases of the circulatory system,05.10.2023,2023,no,NA
pluvicto-epar-public-assessment-report_en.pdf,EMA/871459/2022,EMEA/H/C/005483/0000,Pluvicto,lutetium (177Lu) vipivotide tetraxetan,Novartis Europharm Limited,Other,solution for injection,intravenous,approved,authorised,13.10.2022,2022,no,no,treatment of adult patients with prostate-specific membrane antigen (PSMA)-positive metastatic castration-resistant prostate cancer (mCRPC) who have been treated with androgen receptor (AR) pathway inhibition and taxane-based chemotherapy,treatment of adult patients with progressive prostate-specific membrane antigen (PSMA)-positive metastatic castration-resistant prostate cancer (mCRPC) who have been treated with AR pathway inhibition and taxane-based chemotherapy,Neoplasms,30.09.2021,2021,no,NA
uzprovo-epar-public-assessment-report_en.pdf,EMA/549260/2023,EMEA/H/C/006101/0000,Uzpruvo,ustekinumab,STADA Arzneimittel AG,Biologics,Solution for injection,Subcutaneous,approved,authorised,09.11.2023,2023,no,no,Plaque psoriasis; Paediatric plaque psoriasis; Psoriatic arthritis; Crohn’s Disease,Plaque psoriasis; Paediatric plaque psoriasis; Psoriatic arthritis; Crohn’s Disease,Diseases of the skin; Diseases of the musculoskeletal system and connective tissue; Diseases of the digestive system,21.10.2022,2022,no,NA
pixuvri-epar-public-assessment-report_en.pdf,EMA/309145/2012,EMEA/H/C/002055,Pixuvri,pixantrone,CTI Life Sciences Ltd.,Small molecule,Powder for concentrate for solution for infusion,Intravenous,conditional marketing authorisation,withdrawn,16.02.2012,2012,Not reported,no,treatment of adult patients with multiply relapsed or refractory aggressive Non Hodgkin Lymphomas (NHL),treatment in monotherapy of adult patients with multiply relapsed or refractory aggressive Non Hodgkin B cell Lymphomas (NHL),Neoplasms; Diseases of the blood and blood-forming organs,28.10.2010,2010,no,NA
viraferon-epar-scientific-discussion_en.pdf,Not reported,Not reported,Viraferon,interferon alfa-2b,SP Europe,Biologics,solution for injection,intramuscular,approved,withdrawn,21.10.1999,1999,no,yes,Treatment of Chronic Hepatitis B and Chronic Hepatitis C,"Chronic Hepatitis B: Treatment of adult patients with chronic hepatitis B associated with evidence of hepatitis B viral replication (presence of HBV-DNA and HBeAg), elevated ALT and histologically proven active liver inflammation and/or fibrosis. Chronic Hepatitis C: Treatment of adult patients with chronic hepatitis C who have elevated transaminases without liver decompensation and who are positive for serum HCV-RNA or anti-HCV.",Infectious and parasitic diseases,Not reported,Not reported,no,NA
rasagiline-ratiopharm-epar-public-assessment-report_en.pdf,EMA/CHMP/684236/2014,EMEA/H/C/003957,Rasagiline ratiopharm,Rasagiline,Teva B.V.,Small molecule,Tablet,Oral,approved,authorised,20.11.2014,2014,no,yes,Treatment of idiopathic Parkinson’s disease as monotherapy or as adjunct therapy in patients with end of dose fluctuations.,Treatment of idiopathic Parkinson’s disease as monotherapy or as adjunct therapy in patients with end of dose fluctuations.,Diseases of the nervous system,28.08.2014,2014,yes,Not reported
pifeltro-epar-public-assessment-report_en.pdf,EMA/821709/2018,EMEA/H/C/004747/0000,Pifeltro,doravirine,Merck Sharp & Dohme B.V.,Small molecule,film-coated tablet,oral,approved,authorised,20.09.2018,2018,no,no,"Doravirine MSD is indicated, in combination with other antiretroviral medicinal products, for the treatment of adults infected with HIV-1 without past or present evidence of viral resistance to doravirine.","Doravirine MSD is indicated, in combination with other antiretroviral medicinal products, for the treatment of adults infected with HIV-1 without past or present evidence of viral resistance to doravirine.",Infectious and parasitic diseases,03.11.2017,2017,no,NA
zometa-epar-scientific-discussion_en.pdf,EMA/000400/2001,EMEA/H/C/000400,Zometa,zoledronic acid,Novartis,Small molecule,powder for solution for infusion,intravenous,approved,authorised,20.03.2001,2001,no,yes,Tumour-induced hypercalcaemia,Tumour-induced hypercalcaemia; Prevention of skeletal related events in patients with advanced malignancies involving bone,Neoplasms; Diseases of the musculoskeletal system and connective tissue,Not reported,Not reported,no,NA
